Year,Month,Fatal Collisions,Non-Fatal Injury Collisions,Property Damage Collisions,Total Collsions
1998,January,18,1450,9615,11083
1998,February,21,987,5464,6472
1998,March,24,1309,7280,8613
1998,April,25,1131,4554,5710
1998,May,35,1433,5566,7034
1998,June,26,1474,6219,7719
1998,July,30,1571,6393,7994
1998,August,37,1465,5760,7262
1998,September,37,1522,6114,7673
1998,October,34,1492,6627,8153
1998,November,37,1493,8521,10051
1998,December,34,1645,8941,10620
1999,January,20,1481,8855,10356
1999,February,14,1199,5743,6956
1999,March,24,1346,5998,7368
1999,April,16,1148,5010,6174
1999,May,32,1388,5429,6849
1999,June,31,1473,5988,7492
1999,July,24,1566,6141,7731
1999,August,32,1530,5878,7440
1999,September,25,1620,6090,7735
1999,October,31,1566,6644,8241
1999,November,27,1575,7790,9392
1999,December,29,1501,7800,9330
2000,January,21,1597,9299,10917
2000,February,16,1374,7253,8643
2000,March,21,1318,6653,7992
2000,April,19,1227,5514,6760
2000,May,18,1441,5448,6907
2000,June,26,1583,6287,7896
2000,July,39,1532,6314,7885
2000,August,27,1530,6037,7594
2000,September,32,1659,6351,8042
2000,October,28,1459,6743,8230
2000,November,36,1645,8685,10366
2000,December,29,1876,11119,13024
2001,January,31,1333,7117,8481
2001,February,19,1416,7546,8981
2001,March,23,1430,6783,8236
2001,April,26,1324,5750,7100
2001,May,24,1569,5928,7521
2001,June,36,1638,6666,8340
2001,July,28,1639,6589,8256
2001,August,39,1754,6818,8611
2001,September,36,1608,6677,8321
2001,October,32,1793,8060,9885
2001,November,27,1654,9743,11424
2001,December,20,1836,10145,12001
2002,January,27,1882,9894,11803
2002,February,16,1490,7466,8972
2002,March,18,1815,10030,11863
2002,April,19,1367,6735,8121
2002,May,29,1452,6353,7834
2002,June,36,1640,6958,8634
2002,July,28,1731,7165,8924
2002,August,34,1648,6676,8358
2002,September,26,1712,6939,8677
2002,October,27,1804,8956,10787
2002,November,25,1669,9172,10866
2002,December,37,1939,9219,11195
2003,January,21,1879,10239,12139
2003,February,19,1537,8439,9995
2003,March,14,1658,9008,10680
2003,April,18,1262,6500,7780
2003,May,30,1513,6303,7846
2003,June,26,1534,6970,8530
2003,July,45,1581,7000,8626
2003,August,34,1543,6163,7740
2003,September,29,1497,6420,7946
2003,October,30,1529,7933,9492
2003,November,23,1575,10642,12240
2003,December,32,1337,8725,10094
2004,January,29,1815,11668,13512
2004,February,21,1350,7540,8911
