
,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"Year","Month",
"1999","January",12365,22709,33502,17530,163
"1999","February",9915,17784,26508,14128,196
"1999","March",10885,19772,29408,15548,219
"1999","April",10427,19141,28359,15073,190
"1999","May",12904,23626,35425,18518,266
"1999","June",13462,24983,36972,19555,267
"1999","July",13807,25199,38750,20632,291
"1999","August",14003,25701,39107,20638,294
"1999","September",13343,24804,36418,19140,257
"1999","October",13251,24342,36210,19053,263
"1999","November",13146,23435,34802,18734,278
"1999","December",13802,24585,37414,19902,296
"2000","January",13330,24162,35620,18781,228
"2000","February",11261,20794,30401,15844,170
"2000","March",10283,18569,27743,14672,174
"2000","April",10921,19702,29631,15755,216
"2000","May",12403,22927,33538,17712,232
"2000","June",14268,26314,38468,20455,250
"2000","July",14055,25421,38889,20711,299
"2000","August",13949,25495,38335,20325,281
"2000","September",13767,25561,37812,19688,299
"2000","October",13361,24317,35830,19044,272
"2000","November",13310,23835,35148,18766,245
"2000","December",14924,26733,39906,21085,238
"2001","January",11599,21252,31256,16345,168
"2001","February",11231,20929,30575,16021,183
"2001","March",11091,20258,30088,15983,172
"2001","April",10012,18389,27573,14601,171
"2001","May",12416,22828,33538,17641,226
"2001","June",13447,24586,36215,19198,273
"2001","July",13562,24530,37140,19660,247
"2001","August",14289,25979,39155,20917,305
"2001","September",12881,23561,34710,18289,252
"2001","October",13628,24682,35793,19116,235
"2001","November",13001,23223,34181,18240,251
"2001","December",14272,25206,38428,20520,275
"2002","January",12619,22598,33139,17638,201
"2002","February",10929,19924,29184,15607,189
"2002","March",12192,22051,32919,17344,183
"2002","April",10436,18876,27791,14734,181
"2002","May",12163,22300,32606,17233,226
"2002","June",13777,25185,37213,19669,245
"2002","July",14039,25542,38763,20650,297
"2002","August",14561,26695,40363,21220,319
"2002","September",13822,25389,36814,19304,264
"2002","October",13647,24787,36214,19255,276
"2002","November",13983,24447,36269,19655,242
"2002","December",14242,25254,37935,20349,298
"2003","January",14790,27189,39020,20642,217
"2003","February",11722,21844,31423,16430,134
"2003","March",11212,20655,30435,16095,167
"2003","April",10180,18175,26646,14239,197
"2003","May",12112,22048,32127,17080,235
"2003","June",13463,24396,35940,19286,238
"2003","July",13481,24266,36623,19474,295
"2003","August",13503,24161,36701,19710,300
"2003","September",13042,23761,34411,18011,248
"2003","October",13184,23845,34757,18502,271
"2003","November",13119,22912,33841,18266,238
"2003","December",13170,23204,34391,18386,237
"2004","January",14613,26530,38395,20313,201
"2004","February",10076,18506,27047,14237,152
"2004","March",10161,18122,26485,14263,151
"2004","April",9557,17173,25061,13312,179
"2004","May",11416,20648,30200,16015,219
"2004","June",13023,23618,33898,18170,231
"2004","July",13299,23825,35579,19062,277
"2004","August",13294,23984,35865,18986,295
"2004","September",12815,23402,33258,17441,274
"2004","October",13314,23968,35098,18576,278
"2004","November",12283,21566,31236,16692,251
"2004","December",13735,24329,36320,19035,227
"2005","January",13073,23360,33642,17819,208
"2005","February",10182,18022,26237,13914,180
"2005","March",10327,18717,27285,14366,193
"2005","April",10354,18555,26733,14214,189
"2005","May",11648,21034,30439,16133,240
"2005","June",13463,24473,34853,18505,295
"2005","July",13450,24016,36034,19323,260
"2005","August",13462,24331,35923,19011,296
"2005","September",12746,23170,33085,17272,255
"2005","October",12721,22956,32990,17485,250
"2005","November",13182,23048,33250,17939,254
"2005","December",13500,23786,35279,18717,278
"2006","January",11382,19807,29029,15623,214
"2006","February",10266,18635,26952,14290,185
"2006","March",10251,18364,26659,14077,203
"2006","April",10110,18159,26196,13867,213
"2006","May",11970,21593,31176,16493,216
"2006","June",13290,24134,34704,18371,261
"2006","July",13290,23557,34788,18580,303
"2006","August",13493,24297,35852,18967,330
"2006","September",12729,23009,33267,17410,265
"2006","October",13229,23563,34299,17975,258
"2006","November",12679,22430,32298,17120,211
"2006","December",12410,21531,32514,17197,212
"2007","January",12143,21099,30877,16437,200
"2007","February",11392,20634,29900,15291,169
"2007","March",10087,18154,26896,13930,172
"2007","April",9372,16579,24443,12909,201
"2007","May",11371,20443,29170,15347,229
"2007","June",12617,22637,32695,17339,240
"2007","July",12566,22507,33664,17633,268
"2007","August",12683,22636,33833,17759,283
"2007","September",12326,22161,31973,16720,282
"2007","October",12288,21958,31683,16520,257
"2007","November",12555,21685,31506,16738,224
"2007","December",11663,20736,31065,16111,228
"2008","January",11180,19775,28855,15161,196
"2008","February",10437,18822,27291,14272,139
"2008","March",9340,16780,24750,12986,150
"2008","April",8617,15391,22248,11647,166
"2008","May",9995,17874,26168,13580,193
"2008","June",11284,20116,29226,15384,204
"2008","July",11476,20364,29873,15620,263
"2008","August",11828,21014,31220,16296,266
"2008","September",11155,20092,28813,14973,235
"2008","October",11344,20144,29393,15230,220
